ссылка,название,компания,зарплата,опыт
https://adsrv.hh.ru/click,,,,
https://novosibirsk.hh.ru/vacancy/130513295,Ведущий инженер-программист,BNS Group,,3–6 лет
https://novosibirsk.hh.ru/vacancy/129198431,Инженер-программист,ООО АСТРОН ЛТД,"от 2 500 до 4 000 Br за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/128033917,Программист,ООО Нео-Терм,,1–3 года
https://novosibirsk.hh.ru/vacancy/130786699,Программист С++,Терем,,1–3 года
https://novosibirsk.hh.ru/vacancy/130785791,Программист С++,Терем,,1–3 года
https://novosibirsk.hh.ru/vacancy/130196507,Инженер-программист,ОАО 558 Авиационный ремонтный завод,"от 2 170 до 2 270 Br за месяц, до вычета налогов",не требуется
https://novosibirsk.hh.ru/vacancy/130783533,Инженер-программист,Компания «Кронштадт»,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130782654,Инженер-программист,ПАО ПЗ Сигнал,"от 100 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130782249,Программист Python,НоуТек,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130782465,Техник-программист,Гос. корп. ФГБНУ НИИР им. В.А. Насоновой,"120 000 ₽ за месяц, на руки",не требуется
https://novosibirsk.hh.ru/vacancy/130781546,Инженер-программист,Гос. корп. ФГБНУ НИИР им. В.А. Насоновой,"140 000 ₽ за месяц, до вычета налогов",не требуется
https://novosibirsk.hh.ru/vacancy/130193800,Программист Embedded,Компания НАВИС,"от 180 000 до 200 000 ₽ за месяц, на руки",3–6 лет
https://novosibirsk.hh.ru/vacancy/126146209,Инженер-программист,АО МОСТРАНСАВТО,"до 221 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130645569,Программист микроконтроллеров,ООО Кибертех-Сигнал,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130779411,Инженер-программист,АО ГК Системы и Технологии,"от 70 000 до 100 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130627822,Программист микроконтроллеров,Ленпромавтоматика,,1–3 года
https://novosibirsk.hh.ru/vacancy/120642331,Инженер-программист,АО Связьтранснефть,"от 88 000 до 89 000 ₽ за месяц, на руки",более 6 лет
https://novosibirsk.hh.ru/vacancy/130508885,Инженер-программист,ООО Инконтрол,,1–3 года
https://novosibirsk.hh.ru/vacancy/129958836,Техник-программист,АО Сарапульский электрогенераторный завод,"от 60 000 до 70 000 ₽ за месяц, до вычета налогов",не требуется
https://novosibirsk.hh.ru/vacancy/130511076,Программист АСУТП,ООО НПП Уралэлектра,"до 200 000 ₽ за месяц, на руки",3–6 лет
https://novosibirsk.hh.ru/vacancy/130774780,Техник-программист,Этажи (ИП Обухова Лилия Ульфатовна),"от 50 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/130037482,Программист 1С,Эстет,"150 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/129763792,Программист 1С,ООО ИМИДЖ,,1–3 года
https://novosibirsk.hh.ru/vacancy/130361921,Программист Bitrix 24,МосТАБАК,"от 270 000 ₽ за месяц, до вычета налогов",3–6 лет
https://novosibirsk.hh.ru/vacancy/130406881,Программист 1С,ООО ТД Рублевский,,3–6 лет
https://novosibirsk.hh.ru/vacancy/129081957,Программист 1С,SCHNEIDER GROUP,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130516400,Программист 1С,ООО Смарт Солюшенс Альянс,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130618386,Программист 1С,ООО Джиэсэс Косметикс,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130076915,Программист 1С,ООО АЛЬТЭРОС,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130782741,Инженер-программист (Delphi),ООО Фармбазис,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130477968,Программист 1С,АО Сады Придонья,"от 155 000 до 180 000 ₽ за месяц, до вычета налогов",1–3 года
https://novosibirsk.hh.ru/vacancy/129139733,Программист 1С,Группа компаний Перемена,"от 25 000 ₽ за месяц, на руки",не требуется
https://novosibirsk.hh.ru/vacancy/130076206,Программист 1С,ООО Челстройинвест,"от 120 000 до 150 000 ₽ за месяц, на руки",3–6 лет
https://novosibirsk.hh.ru/vacancy/129877932,Программист 1С,ООО Экспресс-Кубань,"от 100 000 до 160 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130346041,Инженер программист (ПЛК),ООО Тесвел,"от 110 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/128939964,"Программист С, С++",ООО РОЙ-АЭРО,,не требуется
https://novosibirsk.hh.ru/vacancy/130775843,Developer,АО Народный банк Казахстана. IT,,3–6 лет
https://novosibirsk.hh.ru/vacancy/130001405,Программист 1С,АО Башспирт,,1–3 года
https://novosibirsk.hh.ru/vacancy/130514557,Преподаватель-программист КиберШколы,ООО Вкус жизни,"от 50 000 до 120 000 ₽ за месяц, на руки",не требуется
https://novosibirsk.hh.ru/vacancy/130761319,Программист,Самарский филиал ФГБУ Управление Саратовмелиоводхоз,"от 30 000 до 50 000 ₽ за месяц, на руки",не требуется
https://novosibirsk.hh.ru/vacancy/130781778,Инженер-программист микроконтроллеров,ООО ЛСД Электроникс,"от 100 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/130781693,Программист 1С,ООО Управление Бизнесом,"150 000 ₽ за месяц, на руки",более 6 лет
https://novosibirsk.hh.ru/vacancy/130781099,Инженер-программист РТК,ООО Униматик,"от 120 000 ₽ за месяц, на руки",1–3 года
https://novosibirsk.hh.ru/vacancy/124901113,Ведущий инженер-программист,Молния,"от 170 000 ₽ за месяц, до вычета налогов",3–6 лет
